시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
유치원,영평초등학교 병설유치원,제주특별자치도 제주시 아봉로 225,제주특별자치도 제주시 영평동 1826,33.47871171,126.5674875,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,2,5~34,2022-12-01
초등학교,봉개초등학교,제주특별자치도 제주시 번영로 484,제주특별자치도 제주시 봉개동 1930-2,33.49003135,126.5938134,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,6~25,2022-12-01
유치원,봉개초등학교 병설유치원,제주특별자치도 제주시 번영로 484,제주특별자치도 제주시 봉개동 1930-2,33.49003135,126.5938134,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,3,5~14,2022-12-01
초등학교,세화초등학교,제주특별자치도 제주시 구좌읍 구좌로 65,제주특별자치도 제주시 구좌읍 세화리 1391-1,33.52273262,126.8589201,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,3,7~21,2022-12-01
유치원,세화초등학교 병설유치원,제주특별자치도 제주시 구좌읍 구좌로 65,제주특별자치도 제주시 구좌읍 세화리 1391-1,33.52273262,126.8589201,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,3,7~21,2022-12-01
초등학교,평대초등학교,제주특별자치도 제주시 구좌읍 일주동로 2979,제주특별자치도 제주시 구좌읍 평대리 650,33.5295992,126.840142,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,2,9~25,2022-12-01
유치원,평대초등학교 병설유치원,제주특별자치도 제주시 구좌읍 일주동로 2979,제주특별자치도 제주시 구좌읍 평대리 650,33.5295992,126.840142,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,4,7~20,2022-12-01
초등학교,신촌초등학교,제주특별자치도 제주시 조천읍 신북로 51,제주특별자치도 제주시 조천읍 신촌리 1828,33.53447338,126.6195153,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,N,4,8~9,2022-12-01
유치원,신촌초등학교 병설유치원,제주특별자치도 제주시 조천읍 신북로 51,제주특별자치도 제주시 조천읍 신촌리 1828,33.53447338,126.6195153,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,N,4,5~10,2022-12-01
초등학교,어도초등학교,제주특별자치도 제주시 애월읍 봉성로 76,제주특별자치도 제주시 애월읍 봉성리 3276,33.42019297,126.3131392,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,7,7~14,2022-12-01
유치원,어도초등학교 병설유치원,제주특별자치도 제주시 애월읍 봉성로 76,제주특별자치도 제주시 애월읍 봉성리 3276,33.42019297,126.3131392,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,3,4~23,2022-12-01
초등학교,애월초등학교,제주특별자치도 제주시 애월읍 애월로 139-10,제주특별자치도 제주시 애월읍 애월리 1736,33.46548949,126.3224061,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,4,7~11,2022-12-01
유치원,애월초등학교 병설유치원,제주특별자치도 제주시 애월읍 애월로 139-10,제주특별자치도 제주시 애월읍 애월리 1736,33.46548949,126.3224061,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,2,21~25,2022-12-01
초등학교,우도초등학교,제주특별자치도 제주시 우도면 우도로 156-11,제주특별자치도 제주시 우도면 연평리 1442,33.50514824,126.9554325,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,5~26,2022-12-01
유치원,우도초등학교 병설유치원,제주특별자치도 제주시 우도면 우도로 156-11,제주특별자치도 제주시 우도면 연평리 1442,33.50514824,126.9554325,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,3,5~15,2022-12-01
초등학교,한림초등학교,제주특별자치도 제주시 한림읍 한림로4길 16,제주특별자치도 제주시 한림읍 한림리 1383,33.4110704,126.2602319,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,1,6~16,2022-12-01
유치원,한림초등학교 병설유치원,제주특별자치도 제주시 한림읍 한림로4길 16,제주특별자치도 제주시 한림읍 한림리 1383,33.4110704,126.2602319,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,2,14~15,2022-12-01
초등학교,수원초등학교,제주특별자치도 제주시 한림읍 한림로 822,제주특별자치도 제주시 한림읍 대림리 1591,33.42609303,126.2700998,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,1,6~30,2022-12-01
유치원,수원초등학교 병설유치원,제주특별자치도 제주시 한림읍 한림로 822,제주특별자치도 제주시 한림읍 대림리 1591,33.42609303,126.2700998,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,1,13~15,2022-12-01
초등학교,귀덕초등학교,제주특별자치도 제주시 한림읍 귀덕14길 14-5,제주특별자치도 제주시 한림읍 귀덕리 1178-2,33.44183667,126.2931608,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,3,7~12,2022-12-01
유치원,귀덕초등학교 병설유치원,제주특별자치도 제주시 한림읍 귀덕14길 14-5,제주특별자치도 제주시 한림읍 귀덕리 1178-2,33.44183667,126.2931608,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,6,6~30,2022-12-01
초등학교,재릉초등학교,제주특별자치도 제주시 한림읍 한림로 288-18,제주특별자치도 제주시 한림읍 협재리 2872-1,33.38866901,126.2383722,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,2,10~28,2022-12-01
유치원,재릉초등학교 병설유치원,제주특별자치도 제주시 한림읍 한림로 288-18,제주특별자치도 제주시 한림읍 협재리 2872-1,33.38866901,126.2383722,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,1,7~10,2022-12-01
초등학교,저청초등학교,제주특별자치도 제주시 한경면 중산간서로 3591,제주특별자치도 제주시 한경면 저지리 1517,33.32627333,126.2512136,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,5,7~16,2022-12-01
유치원,저청초등학교 병설유치원,제주특별자치도 제주시 한경면 중산간서로 3591,제주특별자치도 제주시 한경면 저지리 1517,33.32627333,126.2512136,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,1,9~24,2022-12-01
초등학교,동화초등학교,제주특별자치도 제주시 동화로1길 44,제주특별자치도 제주시 화북일동 12-2,33.51852927,126.5757482,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,0,6,2022-12-01
유치원,동화초등학교 병설유치원,제주특별자치도 제주시 동화로1길 44,제주특별자치도 제주시 화북일동 12-2,33.51852927,126.5757482,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,0,6~7,2022-12-01
초등학교,대흘초등학교,제주특별자치도 제주시 조천읍 중산간동로 677,제주특별자치도 제주시 조천읍 대흘리 1672-1,33.49959967,126.6577719,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,0,8,2022-12-01
유치원,대흘초등학교 병설유치원,제주특별자치도 제주시 조천읍 중산간동로 677,제주특별자치도 제주시 조천읍 대흘리 1672-1,33.49959967,126.6577719,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,8~10,2022-12-01
초등학교,북촌초등학교,제주특별자치도 제주시 조천읍 일주동로 1481,제주특별자치도 제주시 조천읍 북촌리 1212,33.54793526,126.6913627,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,5~8,2022-12-01
유치원,북촌초등학교 병설유치원,제주특별자치도 제주시 조천읍 일주동로 1481,제주특별자치도 제주시 조천읍 북촌리 1212,33.54793526,126.6913627,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,7~10,2022-12-01
