"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-2-000038,모로왓 제1 공영주차장,공영,노외,,"제주특별자치도 제주시 일도2동 488-1,2",121,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000039,모로왓 제2 공영주차장,공영,노외,,"제주특별자치도 제주시 일도2동 510,511",150,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000040,웅전 공영주차장,공영,노외,,"제주특별자치도 제주시 노형동 2517-1,2",62,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000041,종남 공영주차장,공영,노외,,"제주특별자치도 제주시 노형동 2512-1,2",60,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000042,수덕 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 2534-3,48,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000043,서가름 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 2575-1,40,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000044,초남 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 3782,65,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000045,원노형 푸른 제1 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 710-4,40,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000046,원노형 푸른 제3 공영주차장,공영,노외,,"제주특별자치도 제주시 노형동 740-2,3",44,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000047,원노형 푸른 제4 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 751,33,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000048,원노형 푸른 제5 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 736,41,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000049,연동 국기로 제1 공영주차장,공영,노외,,제주특별자치도 제주시 연동 1517,26,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000050,연동 국기로 제2 공영주차장,공영,노외,,제주특별자치도 제주시 연동 1499,28,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000051,신성로 10길 공영주차장,공영,노외,,제주특별자치도 제주시 도남동 87-8,171,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000052,이도2동 중앙 공영주차장,공영,노외,,제주특별자치도 제주시 이도2동 1982-15·17,33,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000053,연동 도령북길 공영주차장,공영,노외,,제주특별자치도 제주시 연동 2305-7,26,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000054,오복1길 공영주차장,공영,노외,,제주특별자치도 제주시 이도2동 1035-4,36,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000055,도남로 15길 공영주차장,공영,노외,,제주특별자치도 제주시 도남로 65-3,35,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000056,아라 신설로4길 제1 공영주차장,공영,노외,,제주특별자치도 제주시 아라2동 3002-1,20,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000057,아라 신설로4길 제2 공영주차장,공영,노외,,제주특별자치도 제주시 아라2동 3002-9,17,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000058,도련 공영주차장,공영,노외,,제주특별자치도 제주시 도련1동 1642,60,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000059,남광북1길 공영주차장,공영,노외,,제주특별자치도 제주시 이도2동 1063-12,19,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000060,아라동 주민센터 공영주차장,공영,노외,,제주특별자치도 제주시 아라1동 6103-6,37,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
